FIPS,COUNTY
001,Anderson
003,Bedford
005,Benton
007,Bledsoe
009,Blount
011,Bradley
013,Campbell
015,Cannon
017,Carroll
019,Carter
021,Cheatham
023,Chester
025,Claiborne
027,Clay
029,Cocke
031,Coffee
033,Crockett
035,Cumberland
037,Davidson
039,Decatur
041,DeKalb
043,Dickson
045,Dyer
047,Fayette
049,Fentress
051,Franklin
053,Gibson
055,Giles
057,Grainger
059,Greene
061,Grundy
063,Hamblen
065,Hamilton
067,Hancock
069,Hardeman
071,Hardin
073,Hawkins
075,Haywood
077,Henderson
079,Henry
081,Hickman
083,Houston
085,Humphreys
087,Jackson
089,Jefferson
091,Johnson
093,Knox
095,Lake
097,Lauderdale
099,Lawrence
101,Lewis
103,Lincoln
105,Loudon
107,McMinn
109,McNairy
111,Macon
113,Madison
115,Marion
117,Marshall
119,Maury
121,Meigs
123,Monroe
125,Montgomery
127,Moore
129,Morgan
131,Obion
133,Overton
135,Perry
137,Pickett
139,Polk
141,Putnam
143,Rhea
145,Roane
147,Robertson
149,Rutherford
151,Scott
153,Sequatchie
155,Sevier
157,Shelby
159,Smith
161,Stewart
163,Sullivan
165,Sumner
167,Tipton
169,Trousdale
171,Unicoi
173,Union
175,Van Buren
177,Warren
179,Washington
181,Wayne
183,Weakley
185,White
187,Williamson
189,Wilson
